config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k1.5_b1.25_s1.25_rho0,1,0.0,4,33,0.26991498470306396,1.22532721746893e-08,2.384185791015625e-07,1.9710737466812134,0.02011079154908657,0.06339764595031738
n1_k1.5_b1.25_s1.25_rho0,1,0.0,8,17,0.26991498470306396,1.3976741541910087e-08,1.1920928955078125e-07,1.9101461172103882,0.08102474361658096,0.2536773681640625
n1_k1.5_b1.25_s1.25_rho0.25,1,0.25,1,129,0.15896527469158173,0.0,0.0,1.1166176795959473,0.0,0.0
n1_k1.5_b1.25_s1.25_rho0.25,1,0.25,2,65,0.15896527469158173,5.2189137456082335e-09,8.940696716308594e-08,1.1152889728546143,0.0014192232629284263,0.00324249267578125
n1_k1.5_b1.25_s1.25_rho0.25,1,0.25,4,33,0.15896527469158173,6.796490925609078e-09,8.940696716308594e-08,1.1102575063705444,0.006384756416082382,0.015430450439453125
n1_k1.5_b1.25_s1.25_rho0.25,1,0.25,8,17,0.15896527469158173,5.81330361626442e-09,8.940696716308594e-08,1.0919570922851562,0.024664608761668205,0.061269283294677734
n1_k1.5_b1.25_s1.25_rho1,1,1.0,1,129,0.05186815187335014,0.0,0.0,0.37392356991767883,0.0,0.0
n1_k1.5_b1.25_s1.25_rho1,1,1.0,2,65,0.05186815187335014,1.03188002587018e-09,1.4901161193847656e-08,0.3737238049507141,0.0003385836607776582,0.002173185348510742
n1_k1.5_b1.25_s1.25_rho1,1,1.0,4,33,0.05186815187335014,1.3284219280151888e-09,2.9802322387695312e-08,0.3730010688304901,0.0009649827261455357,0.0029745399951934814
n1_k1.5_b1.25_s1.25_rho1,1,1.0,8,17,0.05186815187335014,1.1704963664982415e-09,2.2351741790771484e-08,0.37096700072288513,0.0029684947803616524,0.006671398878097534
n2_k0.5_b0.75_s0.75_rho0,2,0.0,1,257,0.21448321640491486,0.0,0.0,2.1497316360473633,0.0,0.0
n2_k0.5_b0.75_s0.75_rho0,2,0.0,2,129,0.21448321640491486,1.0266562711080951e-08,1.1920928955078125e-07,2.1467251777648926,0.0033749814610928297,0.009469985961914062
n2_k0.5_b0.75_s0.75_rho0,2,0.0,4,65,0.21448321640491486,8.874242674039579e-09,1.1920928955078125e-07,2.134611129760742,0.015406944788992405,0.04593610763549805
n2_k0.5_b0.75_s0.75_rho0,2,0.0,8,33,0.21448321640491486,1.0877370115736085e-08,1.7881393432617188e-07,2.0903191566467285,0.05959450080990791,0.18285369873046875
