family,hurst,size,nominal_probability,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
iid,,7,0.525,200000,0.5252295918367347,0.5013409166666666,117042,82958,0,0,0.58521,0.5830507094620392,0.5873692905379608,0.2106678000127431,949361.9812230545
iid,,7,0.55,200000,0.5499971428571429,0.505052375,133125,66875,0,0,0.665625,0.6635573701862096,0.6676926298137904,0.2072377000004053,965075.369971819
iid,,7,0.6,200000,0.600280918367347,0.5200966249999999,161413,38587,0,0,0.807065,0.8053355785546703,0.8087944214453298,0.2232349000114482,895917.260203236
iid,,7,0.65,200000,0.650273775510204,0.5451669166666666,180871,19129,0,0,0.904355,0.9030660333485339,0.9056439666514662,0.2504979999794159,798409.5682058721
iid,,7,0.7,200000,0.6997954081632654,0.5797928333333333,192046,7954,0,0,0.96023,0.9593735411445394,0.9610864588554606,0.22331750000012107,895585.8810880991
iid,,7,0.75,200000,0.7500134693877551,0.6249633333333333,197499,2501,0,0,0.987495,0.987007975987738,0.987982024012262,0.2543608999985736,786284.3699685037
fractional_gaussian,0.2,7,0.25,200000,0.2554463265306122,0.7249520000000002,7896,192104,0,0,0.03948,0.038626540628408826,0.04033345937159118,0.2714912999945227,736671.8565347581
fractional_gaussian,0.2,7,0.3,200000,0.30513214285714285,0.699142375,17706,182294,0,0,0.08853,0.08728503398832226,0.08977496601167774,0.3432510000129696,582663.9980435398
fractional_gaussian,0.2,7,0.35,200000,0.3546620408163265,0.6795760833333334,32869,167131,0,0,0.164345,0.16272082496987306,0.16596917503012693,0.336507799976971,594339.8637823167
fractional_gaussian,0.2,7,0.4,200000,0.4031218367346939,0.6661574166666667,52119,147881,0,0,0.260595,0.25867117615029656,0.2625188238497035,0.33468560001347214,597575.7546543663
fractional_gaussian,0.2,7,0.45,200000,0.4514584693877551,0.6584126666666666,75371,124629,0,0,0.376855,0.3747311552281789,0.3789788447718211,0.3744977000169456,534048.6737060073
fractional_gaussian,0.2,7,0.475,200000,0.4758898979591837,0.6564713333333333,87816,112184,0,0,0.43908,0.4369049794531663,0.44125502054683374,0.34573420000378974,578479.0743808617
fractional_gaussian,0.2,7,0.5,200000,0.5000169387755102,0.6556568333333332,99831,100169,0,0,0.499155,0.496963656511405,0.5013463434885951,0.3376412999932654,592344.5976661895
fractional_gaussian,0.2,7,0.525,200000,0.5240992857142858,0.6563692499999999,112711,87289,0,0,0.563555,0.561381428212362,0.565728571787638,0.3497967000002973,571760.6827046396
fractional_gaussian,0.2,7,0.55,200000,0.5482718367346939,0.6584395833333334,124726,75274,0,0,0.62363,0.621506696515214,0.6257533034847861,0.3421520999982022,584535.3572316256
fractional_gaussian,0.2,7,0.6,200000,0.5967838775510204,0.6661469166666667,147732,52268,0,0,0.73866,0.7367343989780551,0.7405856010219448,0.3321637000190094,602112.7534060891
fractional_gaussian,0.2,7,0.65,200000,0.6457711224489796,0.6797010000000001,167371,32629,0,0,0.836855,0.8352356039885217,0.8384743960114783,0.3480000999988988,574712.4785327156
fractional_gaussian,0.2,7,0.7,200000,0.6948339795918367,0.6988534166666666,182064,17936,0,0,0.91032,0.9090677647769285,0.9115722352230715,0.2611682999995537,765789.722567179
fractional_gaussian,0.2,7,0.75,200000,0.7443310204081632,0.7248430833333334,192047,7953,0,0,0.960235,0.9593785927547958,0.9610914072452041,0.3387949999887496,590327.4841914474
fractional_gaussian,0.5,7,0.25,200000,0.2587931632653061,0.7507905416666667,10540,189460,0,0,0.0527,0.051720757734939914,0.05367924226506008,0.2915453999885358,685999.5047353326
fractional_gaussian,0.5,7,0.3,200000,0.3085126530612245,0.72920475,21633,178367,0,0,0.108165,0.10680378506034417,0.10952621493965582,0.2354203000140842,849544.4105203963
fractional_gaussian,0.5,7,0.35,200000,0.35674428571428574,0.71351125,37257,162743,0,0,0.186285,0.18457865761944733,0.18799134238055268,0.31644220001180656,632026.9546619823
fractional_gaussian,0.5,7,0.4,200000,0.404865,0.7025379166666665,56078,143922,0,0,0.28039,0.27842133904105776,0.2823586609589422,0.30019440001342446,666234.9463915922
fractional_gaussian,0.5,7,0.45,200000,0.4525914285714286,0.696276125,77407,122593,0,0,0.387035,0.3849003138498247,0.38916968615017533,0.314097499998752,636744.9597682077
fractional_gaussian,0.5,7,0.475,200000,0.47644367346938776,0.6946729583333332,88422,111578,0,0,0.44211,0.43993339044620694,0.44428660955379307,0.2986510000191629,669677.9852977791
fractional_gaussian,0.5,7,0.5,200000,0.49978020408163265,0.6940682083333333,99603,100397,0,0,0.498015,0.4958236706509157,0.5002063293490843,0.3240859000070486,617120.3375267179
fractional_gaussian,0.5,7,0.525,200000,0.5235358163265306,0.6946533750000001,111284,88716,0,0,0.55642,0.5542426491372797,0.5585973508627203,0.3295049000007566,606971.2468601855
fractional_gaussian,0.5,7,0.55,200000,0.5473675510204081,0.696043125,122303,77697,0,0,0.611515,0.6093788499381088,0.6136511500618913,0.3360638000012841,595125.092316506
fractional_gaussian,0.5,7,0.6,200000,0.5951173469387755,0.7023761666666666,144262,55738,0,0,0.72131,0.7193449991486132,0.7232750008513869,0.3312947999802418,603691.9384545966
fractional_gaussian,0.5,7,0.65,200000,0.643039693877551,0.7135916250000001,162915,37085,0,0,0.814575,0.8128717015315703,0.8162782984684298,0.3354377999785356,596235.7254095926
fractional_gaussian,0.5,7,0.7,200000,0.6919106122448979,0.7294070833333333,178422,21578,0,0,0.89211,0.8907503069619714,0.8934696930380285,0.334648299991386,597642.3606668497
fractional_gaussian,0.5,7,0.75,200000,0.7411851020408163,0.7507896666666668,189500,10500,0,0,0.9475,0.9465225144758105,0.9484774855241895,0.3218516000197269,621404.3987593711
fractional_gaussian,0.8,7,0.25,200000,0.2624597959183673,0.7722363333333333,13069,186931,0,0,0.065345,0.06426188911233992,0.06642811088766008,0.29938969999784604,668025.6535259526
fractional_gaussian,0.8,7,0.3,200000,0.3115961224489796,0.7541177500000001,25657,174343,0,0,0.128285,0.1268193972461304,0.12975060275386963,0.23936330000287853,835549.9777852112
fractional_gaussian,0.8,7,0.35,200000,0.3595125510204082,0.7411320416666666,41232,158768,0,0,0.20616,0.20438699579557318,0.20793300420442684,0.22967739999876358,870786.5902395127
fractional_gaussian,0.8,7,0.4,200000,0.40677408163265305,0.73196225,59226,140774,0,0,0.29613,0.2941290856240946,0.2981309143759054,0.2297246000089217,870607.6754175769
